io52_idx,io52_name
1,FoodCrops
2,HortiCrops
3,Estates
4,Livestock
5,AgricService
6,Forestry
7,Fishery
8,Coal
9,OilGasGeo
10,IronOre
11,OtherMine
12,FoodMan
13,Tobacco
14,Textiles
15,Leather
16,WoodProd
17,PaperProd
18,NonMetalProd
19,CoalOilMan
20,Chemical
21,Rubber
22,BasicMetal
23,MetalProd
24,Machinery
25,TranspEquip
26,Furniture
27,OtherMan
28,Electricity
29,CityGas
30,WasteMan
31,Construction
32,VehicTrade
33,OthTrade
34,RailTransp
35,LandTransp
36,SeaTransp
37,WaterTransp
38,AirTransp
39,TranspSvc
40,Hotels
41,Restaurant
42,Telecom
43,Finance
44,Insurance
45,OthFinance
46,FinanSvc
47,RealEstate
48,BusSvc
49,GovAdmin
50,Education
51,HealthSvc
52,OtherSvc
